ID,Question Difficulty,User Question,Model,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note
Q001,Easy,What is the dose of my blood pressure medication?,Qwen 2.5: 1.5B,1,5,5,5,5,5,5,0,NA,0,0
Q001,Easy,What is the dose of my blood pressure medication?,Qwen 2.5: 3B,1,5,5,5,5,5,5,0,NA,0,0
Q001,Easy,What is the dose of my blood pressure medication?,Llama 3.2 3B,1,5,5,5,5,5,5,0,NA,0,0
Q001,Easy,What is the dose of my blood pressure medication?,gemini-3.1-pro,1,5,5,4,5,4,4,0,NA,0,0
Q002,Easy,Do I have a documented allergy to penicillin?,Qwen 2.5: 1.5B,1,5,5,5,5,5,4,0,NA,0,0
Q002,Easy,Do I have a documented allergy to penicillin?,Qwen 2.5: 3B,1,5,5,5,5,5,5,0,NA,0,0
Q002,Easy,Do I have a documented allergy to penicillin?,Llama 3.2 3B,1,5,5,5,5,5,4,0,NA,0,0
Q002,Easy,Do I have a documented allergy to penicillin?,gemini-3.1-pro,1,5,5,5,5,5,4,0,NA,0,0
Q003,Easy,What was my last A1c result?,Qwen 2.5: 1.5B,3,2,4,4,5,5,4,0,NA,0,0
Q003,Easy,What was my last A1c result?,Qwen 2.5: 3B,1,2,5,4,5,5,4,0,NA,0,0
Q003,Easy,What was my last A1c result?,Llama 3.2 3B,3,5,5,5,5,5,5,0,NA,0,0
Q003,Easy,What was my last A1c result?,gemini-3.1-pro,1,5,5,5,5,4,4,0,NA,0,0
Q004,Easy,When was I diagnosed with asthma?,Qwen 2.5: 1.5B,1,5,5,5,5,5,5,0,NA,0,0
Q004,Easy,When was I diagnosed with asthma?,Qwen 2.5: 3B,1,5,4,5,5,5,5,0,NA,0,0
Q004,Easy,When was I diagnosed with asthma?,Llama 3.2 3B,1,5,5,5,5,5,5,0,NA,0,0
Q004,Easy,When was I diagnosed with asthma?,gemini-3.1-pro,1,5,5,4,5,4,4,0,NA,0,0
Q005,Easy,What was my weight at my last doctor's visit?,Qwen 2.5: 1.5B,1,5,5,5,5,5,5,0,NA,0,0
Q005,Easy,What was my weight at my last doctor's visit?,Qwen 2.5: 3B,1,5,5,5,5,5,5,0,NA,0,0
Q005,Easy,What was my weight at my last doctor's visit?,Llama 3.2 3B,1,5,5,5,5,5,5,0,NA,0,0
Q005,Easy,What was my weight at my last doctor's visit?,gemini-3.1-pro,3,5,4,4,5,4,4,0,NA,0,0
Q006,Easy,Did I have a colonoscopy in 2021?,Qwen 2.5: 1.5B,1,5,4,5,5,5,5,0,NA,0,0
Q006,Easy,Did I have a colonoscopy in 2021?,Qwen 2.5: 3B,1,5,5,5,5,5,4,0,NA,0,0
Q006,Easy,Did I have a colonoscopy in 2021?,Llama 3.2 3B,1,5,4,5,5,5,5,0,NA,0,0
Q006,Easy,Did I have a colonoscopy in 2021?,gemini-3.1-pro,1,5,5,5,5,5,4,0,NA,0,0
