ID,Question Difficulty,overall_quality
Q001,Easy,4.875
Q002,Easy,4.875
Q003,Easy,4.458333333333334
Q004,Easy,4.833333333333333
Q005,Easy,4.833333333333333
Q006,Easy,4.833333333333333
Q007,Easy,4.875
Q008,Easy,4.875
Q009,Easy,4.75
Q010,Easy,4.625
Q011,Medium,4.541666666666667
Q012,Medium,4.541666666666666
Q013,Medium,4.541666666666666
Q014,Medium,4.75
Q015,Medium,3.9166666666666665
Q016,Medium,4.75
Q017,Medium,4.041666666666667
Q018,Medium,4.541666666666667
Q019,Medium,4.791666666666667
Q020,Medium,4.208333333333334
Q021,Hard,4.333333333333333
Q022,Hard,3.5
Q023,Hard,4.291666666666667
Q024,Hard,4.125
Q025,Hard,4.166666666666666
Q026,Hard,4.541666666666667
Q027,Hard,4.333333333333333
Q028,Hard,4.166666666666667
Q029,Hard,4.458333333333333
Q030,Hard,3.625
